,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
59104,,0.155425681,39,0,0.236753759,6850.0,5,0,1,0,2.0
62111,,0.034632179,60,0,0.003214056,9333.0,2,0,0,0,2.0
40370,,0.011116863,32,0,0.25935447,3500.0,9,0,0,0,2.0
94155,,0.033953002,62,0,0.104029991,3200.0,8,0,0,0,0.0
55871,,0.9999999,39,0,0.028270874,1520.0,0,0,0,0,0.0
74541,,0.109321898,40,0,0.412097984,6000.0,8,0,1,0,3.0
1164,,0.74991445,63,0,0.449019185,13916.0,13,0,2,0,1.0
61809,,0.272597235,62,0,0.260391373,7000.0,21,0,2,0,0.0
49409,,0.303889963,59,0,2577.0,,7,0,1,0,0.0
27568,,0.0,34,0,1.914539401,900.0,12,0,1,0,0.0
55379,,0.9999999,30,0,0.126925899,2725.0,1,0,0,0,0.0
70072,,0.196143069,50,0,0.337358665,13000.0,11,0,2,0,3.0
68695,,0.0,69,0,0.600458866,3050.0,14,0,1,0,0.0
24454,,0.042051443,62,0,0.2814,9999.0,9,0,2,0,0.0
60550,,0.357679335,62,0,0.639502943,7644.0,13,0,2,0,1.0
63211,,0.465653435,60,0,0.416637901,2896.0,9,0,1,0,0.0
89477,,0.024386016,58,0,0.171201745,16500.0,9,0,1,0,2.0
68943,,0.04969805,43,0,0.350883039,3000.0,6,0,1,0,2.0
85538,,0.046019251,46,0,0.071423908,15316.0,20,0,2,0,0.0
11826,,0.011962393,83,0,19.0,,6,0,0,0,0.0
